 mentions, sentiment,sender
[],0.931146264,rainier
[],0.070510484,magazine-montana-cola-lemon
[],0.396956503,magazine-montana-cola-lemon
[],0.796101272,magazine-montana-cola-lemon
['rainier'],0.64798367,rainier
['ohio-april-lemon-sixteen'],0.526728988,rainier
[],0.21893461,rainier
[],0.54365778,magazine-montana-cola-lemon
['rainier'],0.644346714,rainier
[],0.701372564,magazine-montana-cola-lemon
[],0.664468706,magazine-montana-cola-lemon
[],0.701343,magazine-montana-cola-lemon
[],0.755618513,rainier
[],0.228564039,rainier
[],0.074982658,rainier
[],0.539080501,magazine-montana-cola-lemon
[],0.918414891,rainier
[],0.218485579,magazine-montana-cola-lemon
[],0.243470296,rainier
[],0.328863889,rainier
[],0.984770536,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.813282907,magazine-montana-cola-lemon
[],0.297871113,magazine-montana-cola-lemon
[],0.315108061,rainier
[],0.825356901,magazine-montana-cola-lemon
[],0.700007737,magazine-montana-cola-lemon
[],0.630093098,rainier
[],0.922454953,magazine-montana-cola-lemon
[],0.964615226,rainier
[],0.095559813,magazine-montana-cola-lemon
[],0.753533244,rainier
[],0.884346545,magazine-montana-cola-lemon
[],None,rainier
[],0.941942453,rainier
[],0.997260869,magazine-montana-cola-lemon
[],0.912246585,magazine-montana-cola-lemon
[],0.34652105,magazine-montana-cola-lemon
[],0.128025413,magazine-montana-cola-lemon
[],0.514434099,rainier
[],0.266754121,magazine-montana-cola-lemon
[],0.246495456,magazine-montana-cola-lemon
[],0.930320561,rainier
[],0.986947715,magazine-montana-cola-lemon
[],0.544564724,magazine-montana-cola-lemon
[],0.477936566,rainier
[],0.900311589,rainier
['bluebird-fish-lamp-edward'],0.253439367,rainier
[],0.645767331,magazine-montana-cola-lemon
[],0.93862325,rainier
[],0.7545228,magazine-montana-cola-lemon
[],0.320813835,rainier
[],0.087271124,magazine-montana-cola-lemon
[],0.57361412,magazine-montana-cola-lemon
[],0.812832892,rainier
[],0.563396811,magazine-montana-cola-lemon
[],0.776810825,rainier
[],0.188208565,magazine-montana-cola-lemon
[],0.384066522,rainier
